Which country ? ,Which education institution ? ,Year ? ,What is the course title ? ,What are the course prerequisites ? ,What is the course description ?,What is the course  content/topics?,What are the course outcomes/objectives?,Hardware or Software tools used in the course ? ,Textbook/references used in the course ? ,Teaching method ? ,What are assessment methods ? 
Lebanon,Beirut Arab University,,Artificial Intelligence,,": The course aims to introduce and covers different aspects of artificial intelligence.
The course begins within a revision for the basic concepts of trees and graphs. After, the course continues
to introduce the artificial intelligence such as : Intelligent Agents, Solving Problems by Searching,
Uninformed Search Strategies, Informed (Heuristic) Search Strategies, Adversarial Search, Machine
Learning, and Introduction to Computer Vision","Introduction to artificial intelligence
Revision on Trees and graphs
Intelligent Agents
Solving Problems by Searching
Uninformed Search Strategies
Informed (Heuristic) Search Strategies, including Best first search (Greedy searching)
Heuristic Functions and A* algorithm
Midterm Evaluation
Adversarial Search: Games
Adversarial Search: Optimal Decisions in Games (Min-max algorithms)
Adversarial Search: Alpha Beta Pruning
Machine Learning (Decision trees)
Introduction to Computer Vision
Images filtering
Edge detection in Images",". Student will be able to formulate problems using problem solving techniques in artificial
intelligence.
2. Student will be able to understand and implement the Uninformed Search Strategies.
3. Student will be able to understand and implement informed the informed Search Strategies.
4. Student will be able to understand and implement the adversarial search.
5. Student will be able to learn some basic concepts of machine learning
6. Student will be able to learn some basic concepts of computer vision.
7. Student will be able to implement artificial intelligence techniques using different tools and
techniques.
",,"Artificial Intelligence A Modern Approach, Third Edition, Prentice Hall, Stuart J. Russell
and Peter Norvig",Lecture based learning;LAB demos,Final Exam;midterm exam;Project
Canada,Thompson Rivers University,2015-01-01,Applied Artificial Intelligence,"Data Structures, Algorithm Analysis, and Program Design

Introduction to Statistics","Students investigate non-deterministic computer algorithms that are used in wide
application areas but cannot be written in pseudo programming languages. Nondeterministic algorithms have been known as topics of machine learning or artificial
intelligence. Students are introduced to the use of classical artificial intelligence
techniques and soft computing techniques. Classical artificial intelligence techniques
include knowledge representation, heuristic algorithms, rule based systems, and
probabilistic reasoning. Soft computing techniques include fuzzy systems, neural
networks, and genetic algorithms","Introduction to Artificial Intelligence:

Brief History of Artificial Intelligence
Uses and Limitations
Problem characteristics
Nature of agents
Classical Artificial Intelligence:

Knowledge Representation
Searching
Search Methodologies
Advanced Search
Genetic Algorithms
Knowledge Representation and Automated Reasoning
Propositional and Predicate Logic
Inference and Resolution for Problem Solving
Rules and Expert Systems
Machine Learning:

Introduction
Neural Networks
Probabilistic Reasoning
Artificial Life
Advanced Topics:

Fuzzy Reasoning
Intelligent Agents
Introduction to Understanding Language
Introduction to Machine Vision
Seminar/Lab Topics:

Solving problems regarding the concept of artificial intelligence
Solving problems using A* and advanced heuristics
Solving problems using a generic algorithm
Solving problems regarding formal languages
Solving problems using backward chaining and forward chaining
Implementation of a fuzzy control system
Solving problems using a decision tree
Solving problems using neural networks
Solving problems using probabilistic reasoning","Upon successful completion of the course, the student will demonstrate the ability to:
1. Understand the major areas and challenges of AI.
2. Identify problems that are amenable to solution by AI methods, and which AI
methods may be suited to solving a given problem.
3. Formalize a given problem in the language/framework of different AI methods.
4. Implement basic AI algorithms.
5. Apply basic AI knowledge and algorithms to solve problems.
6. Design simple software to experiment with various AI concepts and analyse results",,"Artificial Intelligence Illuminated, Ben Coppin, Jones and Bartlett Illuminated
Series.

Norvig P. Russell S., Artificial Intelligence: A Modern Approach, Prentice Hall.",Lecture based learning;LAB demos;Seminar,Other
United States,University of Illinois at Urbana-Champaign,2022-01-01,Artificial Intelligence,"data structures
probability and statistics
discrete math
Calculus
","This course provides an introductory survey of concepts and techniques in artificial intelligence. We will cover methods for search, classification, reasoning, and machine learning. We will also look at applications including core AI (games, planning), robotics, computer vision, and natural language understanding.

","Introduction to Probability
Naive Bayes
Search Algorithms (including A* Search)
Robot Motion
Bayes Nets
Natural Language Processing
Hidden Markov Models (HMMs)
Computer Vision
Classifiers (including Linear Classifiers and Neural Networks)
Vector Semantics
Reinforcement Learning
Constraint Satisfaction Problems (CSP)
Classical Planning
Games",,python,"The textbook is Russell and Norvig, Artificial Intelligence: A Modern Approach, fourth edition",Lecture based learning,Short Quizes;Final Exam;Project
United States,University of Minnesota Duluth,2010-01-01,Artificial Intelligence,Computer Science Theory,"Principles and programming methods of artificial intelligence. Knowledge representation methods, state space search strategies, and use of logic for problem solving. Applications chosen from among expert systems, planning, natural language understanding, uncertainty reasoning, machine learning, and robotics. Lectures and labs will utilize suitable high-level languages (e.g., Python or Lisp).

",not mentioned,"This course introduces the field of artificial intelligence (AI). Students learn about AI methods in machine problem solving (a) through search and reasoning, (b) through learning algorithms (e.g., neural networks), and (c) through algorithms dependent on particular instructors (e.g., robotics related techniques). Students also use a new programming language Python and/or Lisp, and learn to think and write about the issues which dominate the field.

","python 
lisp","Russell and Norvig, Artificial Intelligence, 3rd Ed., Prentice Hall, ISBN 0136042597
",Lecture based learning,Assignments;Final Exam;midterm exam
United States,"University of California, Santa Barbara",2024-01-01,Artificial Intelligence,Data Structures and Algorithms,"An introduction to the field of Artificial Intelligence (AI), which attempts to understand and build intelligent systems. Topics include intelligent agents, search, game playing, logic, knowledge representation and reasoning, and uncertainty. We will also briefly cover the history of AI and philosophical and social implications.

Artificial Intelligence is about building and understanding intelligent systems. AI means different things to different people. People have approached the study of AI from various perspectives: philosophy, neurophysiology, mathematics, linguistics, psychology, control systems, and computer science, to name a few. Part of what makes it so interesting is the range of activities, from trying to understand minds in the abstract, to building creatures that run around and do things. AI has made steady progress and contributed to much of what is now standard computer science and cognitive science. It has spawned several sub-areas (e.g., natural language processing, speech recognition, computer vision, robotics, expert systems, and learning)

","History and foundations of AI

Problem solving and intelligent agents 

Problem solving and search (blind, informed, constraint satisfaction, adversarial)

Knowledge representation and reasoning in deterministic environments (logic, semantic networks, frames)

Knowledge representation and reasoning in probabilistic environments (Bayesian networks)
Introduction to information retrieval and machine learning (classification and clustering)

Introduction to reinforcement learning

 ","By the end of the course, you will understand what AI is all about and what it has contributed, and may contribute, to computing. You will have a working knowledge of the basic tools of AI, which are applicable to a wide range of computing problems. You will be able to solve problems using explicit knowledge and reasoning. You will have experience building agents that, to some degree, can perceive their environment, reason about their behavior, and act upon the environment to achieve their goals.  

This is not primarily a programming course - that is, the main goal is to learn the concepts, not to learn a language or particular programming techniques. However, coding examples of the concepts is the best way to demonstrate (and facilitate) your knowledge of them. Good programming practices (proper file structure, comments, etc.) are expected.",,"Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Prentice Hall, Fourth Edition, 2020.",Lecture based learning,Assignments;Final Exam
United States,San José State University,,Topics in Artificial Intelligence,Fundamental concepts in artificial intelligence,"Introduction to topics in artificial intelligence such as problem solving methods, game playing, understanding natural languages, pattern recognition, computer vision and the general problem of representing knowledge. Students will be expected to use LISP.

","Probability theory

Probabilistic inference

Machine learning

Decision Trees

Neural Network Models

Self-Organizing Systems

Genetic Classifier Systems

Version Space and Candidate Elimination

Inductive Logic Programming

Induction of Bayesian Models

Unsupervised Concept Formation

Computer vision

Computer audition

Automatic speech recognition

Spoken dialogue systems

Natural language processing

Abstract reasoning

Information retrieval

Explanation-Based Learning

Automating Knowledge Acquisition

","Upon successful completion of this course, students should have an in-depth knowledge of several of the following:



Decision Trees, Neural Network Models, Self-Organizing Systems

Genetic Classifier Systems, Version Space and Candidate Elimination

Inductive Logic Programming, Induction of Bayesian Models

Unsupervised Concept Formation

Computer vision, Computer audition

Automatic speech recognition, Spoken dialogue systems

Natural language processing

Explanation-Based Learning, Automating Knowledge Acquisition",lisp,"Suggested: Artificial Intelligence, A Modern Approach by Russell and Norvig, second edition, Prentice Hall, 2002

",Other,Other
United States,Stevens Institute of Technology,,Artificial Intelligence,,not mentioned,"Introduction and Intelligent Agent
Search: search strategy and heuristic search
Search: Constraint Satisfaction & Adversarial Search
Logic: Logic Agent and First Order Logic
Logic: Inference on First Order Logic
Uncertainty and Bayesian Network
Midterm Presentation
Knowledge Representation
Inference in Bayesian Network
Machine Learning
Markov Decision Process
Decision Theory
Decision trees and information theory
Reinforcement Learning",,,"Stuart Russell and Peter Norvig , Artificial Intelligence: A Modern Approach , 3rd ed., 2009",not mentioned,not mentioned
United States,University of North Carolina Greensboro,2022-01-01,Artificial Intelligence,,not mentioned,"Introduction
Agent architecture
AI Ethics (see Canvas)
Logic Programming, Inductive Logic Programming (see notes on Canvas and Bratko)
Search and Constraint Satisfaction
Logical Foundations of AI; Semantic Networks to Ontologies
Knowledge-based/Expert Systems (KBS) and Cognitive Architectures (see Canvas)
Reasoning under Uncertainty
Planning
Decision Making under Uncertainty
Other topics as time allows, e.g., Natural Language Processing/Understanding (NLP/NLU","Demonstrate knowledge of some of basic concepts, methods, and algorithms of AI.
2. Demonstrate ability to design and implement simple AI programs in the Prolog logic
programming language.
3. (grad. students): Summarize and present peer-reviewed articles on theory and practice of AI. ",,"Artificial Intelligence: Foundations of Computational Agents, by Poole &
Mackworth, Cambridge U",Lecture based learning;Seminar,Assignments;Final Exam;midterm exam;Project;Presentation
United States,George Mason University,2022-01-01,Introduction to Artificial Intelligence,"Probability
Linear algebra
Calculus","- Introduction to Artificial Intelligence is a 3-credit introductory course intended for graduate students. Artificial
Intelligence is subfield of Computer Science which covers the design, implementation, and analysis of computational
systems that can be said to reason, learn, or act rationally. This course presents a broad overview of this material using an
agent based approach, and has a particular focus on the details of implementation. The class is programming intensive, and a
strong background in the programming language of the assignments (Python) will be very useful.
","Introductions and Logistics
Coding refresher problem set (tentative)
Uninformed search
A* search and heuristics
Search problem set (tentative)
Search in different domains
Search homework (tentative)
Spring break (no class)
Filtering homework (tentative)
Classification, k-NN, Logistic Regression
Decision Trees/Neural Networks
Clustering and k-Means, Gaussian Mixture Models and EM
Machine Learning homework (tentative)
Extra topics and review","To provide a broad survey of algorithms and approaches in AI.
To develop a deeper understanding of several major algorithms in AI.
To develop the design and programming skills that will help you to build computational artifacts that act intelligently.
To develop the basic skills necessary to pursue research in AI.",python,Artificial Intelligence: A Modern Approach by Stuart Russell and Peter Norvig.,Collaborative or Group-based learning;Lecture based learning,Assignments;Final Exam;midterm exam
,International Association of Business Analytics,2018-01-01,Artificial Intelligence Foundation,"Mathematics: Calculus, Statistics, Linear Algebra, Probability
Machine Learning and Python/R Programming ",not mentioned,"ntroduction to Artificial Intelligence:

History of Artificial Intelligence (AI)
Five domains of AI
Why AI now?
Limitation of AI
Machine Learning Primer:

Machine Learning core concepts, scalable algorithms, project workflow
Objective Functions and Regularization
Understanding Objective Function of ML Algorithms
Metrics, Evaluation Methods, and Optimizers
Popular Metrics in Detail: R2 Score, RMSE, Cross Entropy, Precision, Recall, F1 Score, ROC AUC, SGD, ADAM
Artificial Neural Network (ANN) in detail, Forward Pass and Back Propagation
Machine Learning Vs Deep Learning: Core difference between ML and DL from an implementation perspective
Advanced Python for Deep Learning:

Python Programming Primer
Class, Inheritance, and Magic Functions
Special Functions in Python
Python Package Management: Bundling and export python packages
Overview, Array, selecting data, Slicing, Iterating, Array Manipulations, Stacking, Splitting arrays, Key functions
Decorators and Special Functions: Decorators implementation with class
Context Manager 'with' in Python: Context Manager Application
Exception Handling: Try and Catch block
TensorFlow 2.0 and Keras for Deep Learning:

TensorFlow 2.0 Basics: TensorFlow core concepts, Tensors, core APIs
Concrete Functions, Datatypes, Control Statements, NumPy, Pandas
Autograph eager execution: tf.function autograph implementation
Keras (TensorFlow 2.0 Built-in API) Overview
Sequential Models, configuring layers, loading data, train and test, complex models, call backs, save and restore Neural Network weights
Mathematics for Deep Learning:

Linear Algebra: Vectors, Matrices, Linear Transformation, Eigen Vectors, Matrix Operations, Special Matrices
Calculus – Derivatives: Calculus essentials, Derivatives and Partial Derivatives, Chain Rule, Derivatives of special functions
Probability Essentials: Probability basics and notations, Conditional probability, Essential Probability theorems for Machine Learning
Special functions: Relu, Sigmoid, SoftMax, Popular Loss Functions – Cross Entropy, Quadratic Loss Functions
Deep Learning Foundation:

Deep Learning Network Concepts
Core concepts of Deep Learning Networks
Deep Dive into Activation Functions
Building simple Deep Learning Network
Tuning Deep Learning Network",,"python
R language",,not mentioned,Final Exam
India,SLA Institute,,Artificial Intelligence,,AI jobs have seen a tremendous increase in the recent times. They are poised to accelerate at a great speed. This disruptive technology is taught at SLA Institute that has a well-framed Artificial Intelligence Course Syllabus. ,"Artificial intelligence fundamentals
Computational mathematics for learning and data analysis
Machine learning
Human language technologies
Parallel and distributed systems: paradigms and models
Intelligent Systems for pattern recognition
Algorithm engineering (KD)
Data mining (KD)
Mobile and cyber-physical systems (ICT)
Real-time Data Warehouse migration
Information retrieval (KD)
Social and ethical issues in computer technology
Computational neuroscience (ING)
Robotics
Semantic web",,,,not mentioned,not mentioned
India,University of Calcutta,2023-01-01,AI for Everyone,,"This course aims to introduce the fundamental concepts of artificial intelligence (AI) to individuals
from all academic backgrounds. Participants will develop a broad understanding of AI technologies,
their implications, and their potential applications in various fields. The course will emphasize
practical examples and real-world case studies to facilitate comprehension and inspire innovative
thinking.","Unit 1: Introduction to Artificial Intelligence (6 Lectures)
 Definition and scope of AI
 Historical overview and key milestones
 Differentiating AI from human intelligence
Unit 2: AI Subfields and Technologies (6 Lectures)
 Machine learning: Supervised, unsupervised, and reinforcement learning
 Deep learning and neural networks
 Natural language processing (NLP) and computer vision
Unit 3: Applications of AI (8 Lectures)
 AI in healthcare: Diagnosis, treatment, and medical imaging
 AI in finance: Fraud detection, algorithmic trading, and risk assessment
 AI in transportation: Autonomous vehicles and traffic optimization
 AI in customer service and chatbots
 AI in education: Personalized learning and intelligent tutoring systems
Unit 4: Ethical and Social Implications of AI (5 Lectures)
 Bias and fairness in AI systems
 Privacy and data protection concerns
 Impact of AI on employment and the workforce
 AI and social inequality
Unit 5: Other Important Issues
 Ethical guidelines and responsible AI practices
 AI and Innovation
 Emerging trends and future directions in AI
 AI and creativity: Generative models and artistic applications

","Understand the basics of artificial intelligence and its subfields.
Explore real-world applications of AI across different industries.
Gain insights into the ethical, social, and economic implications of AI.
Develop an appreciation for the potential of AI to drive innovation and transformation.

Define and explain the fundamental concepts and subfields of AI.
Identify real-world applications of AI across various industries.
Analyze the ethical, social, and economic implications of AI.
Recognize the potential of AI to drive innovation and transformation in different domains.",,,not mentioned,not mentioned
India,GVP College of Engineering,,ARTIFICIAL INTELLIGENCE TOOLS AND APPLICATIONS,,not mentioned,"- ARTIFICIAL INTELLIGENCE: Introduction, Definition of AI, Goals of AI, Turing Test, Applications of AI, AI Programming Languages
- SEARCH STRATEGIES: Introduction, Brute Force or Blind Search, Breadth-First Search, Depth-First Search, Hill Climbing, Best-First Search
- MACHINE LEARNING: Introduction, Machine Learning Process, Feature Engineering-Feature Extraction, Feature Selection, Feature Engineering Methods, Feature Engineering, Data Visualization-Line Chart, Bar Chart, Pie Chart, Histograms, Scatter Plot, Seaborn-Distplot, joint plot
- REGRESSION: Simple Regression, Multiple Regression, Model Assessment-Training Error, Generalized Error, Testing Error, Bias-Variance Tradeoff
- CLASSIFICATION: Linear Classification, Logistic Regression, Decision Trees
- CLUSTERING: K-Means Clustering
- EXPERT SYSTEMS: Introduction, Need and Justification of ES, Knowledge Representation, Knowledge Acquisition and Variation, Utilisation and Functionality, Basics of Prolog
- ARTIFICIAL NEURAL NETWORKS (ANNs): Biological Neuron, Types of ANN, Optimization Techniques, Vanishing Gradient Problem, Exploding Gradient Problem, Weight Initialization
- CONVOLUTION NEURAL NETWORKS(CNNs): Introduction, Components of CNN Architecture-Convolution Layer (with example), Pooling/Downsampling Layer, Flattening Layer, Fully Connected Layer; Rectified Linear Unit Layer, Exponential Linear Unit, Unique Properties of CNN, Architectures of CNNs, Applications of CNN"," Demonstrate various AI applications, languages and Intelligent Agents.
Solve problems using search strategies and understand the basic process of Machine Learning.
Apply classification and regression algorithms on real world data.
Develop an expert system.
Comprehend the structure of an artificial neural network and identify the building blocks of a
convolutional neural network.",python,"1. Dr.Nilakshi Jain, Artificial Intelligence, As per AICTE: Making a System Intelligent, Wiley
Publications, 1st Edition,2019.
2. Vijayvargia, Abhishek, Machine Learning with Python: An Approach to Applied Machine
Learning, BPB Publications; 1st edition,2018.
3. Dr.S.Lovelyn Rose, Dr. L.Ashok Kumar, Dr.D.Karthika Renuka, Deep Learning using Python,
Wiley India Pvt. Ltd 2019",not mentioned,not mentioned
United States,"University of California, Berkeley",2019-01-01,Introduction to Artificial Intelligence,,"This course will introduce the basic ideas and techniques underlying the design of intelligent computer systems. A specific emphasis will be on the statistical and decision-theoretic modeling paradigm.

By the end of this course, you will have built autonomous agents that efficiently make decisions in fully informed, partially observable and adversarial settings. Your agents will draw inferences in uncertain environments and optimize actions for arbitrary reward structures. Your machine learning algorithms will classify handwritten digits and photographs. The techniques you learn in this course apply to a wide variety of artificial intelligence problems and will serve as the foundation for further study in any application area you choose to pursue.","Introduction to AI
Uninformed Search
A* Search and Heuristics
Game Trees
Markov Decision Processes (MDPs) I and II
Reinforcement Learning (RL) I and II
Constraint Satisfaction Problems (CSPs) I and II
Propositional Logic
First-Order Logic
Probability
Bayesian Networks: Representation and Inference
Bayesian Networks: Sampling
Hidden Markov Models (HMMs)
Particle Filtering
Decision Networks / Value of Perfect Information
Machine Learning: Naive Bayes
Machine Learning: Perceptrons
Machine Learning: Logistic Regression and Neural Networks
Machine Learning: Neural Networks and Decision Trees
Robotics / Language / Vision",,,,Lecture based learning,Assignments;Final Exam;midterm exam;Project
United States,Carnegie Mellon University,2014-01-01,Graduate Artificial Intelligence," Some background in linear algebra, data structures and algorithms, and
probability will all be helpful, but are not required for the course.
","Artificial Intelligence spans a wide variety of topics at the forefront of computer science research,
including areas like machine learning, robotics, planning, computer vision, natural language processing, an many others. This course serves as a broad introduction to many of these topics, but
taught at the graduate level, where students will delve into specific algorithms and applications in
significant detail. The course covers is ideal for students who would like some exposure to these
topics without devoting an entire semester to each one (many of the topics have entire classes
devoted to them).","Introduction + History
Intelligent Agents + Other AI frameworks
Search 1 - Uniformed, Informed
Search 2 - Informed, Adversarial
Numerical Optimization 1
Numerical Optimization 2
Search 3 - Local Search, Genetic Algorithms
Constraint Satisfaction Search
Classical Planning 1
Classical Planning 2
Integer Programming
Machine Learning 1
Machine Learning 2
Probabilistic Modeling, Bayesian Networks
Probabilistic Inference
Probabilistic Planning, MDPs
Reinforcement Learning
Computer Vision 1
Computer Vision 2
Scheduling 1
Scheduling 2
Robotics 1, Robot Motion Planning
Robotics 2, Dynamics and Control
Natural Language Processing 1
Natural Language Processing 2
Computational Game Theory
Current Directions in AI Research",,python,"“Artificial Intelligence, A Modern Approach, 3rd Edition,”
by Stuart Russell and Peter Norvig",Lecture based learning,Assignments;midterm exam;Project;Presentation
Italy,Sapienza University,2024-01-01,Artificial Intelligence and Machine Learning,,"The course is meant to introduce machine learning, a class of methods that learn patterns from data and perform predictions on new data. This Unit complements the Unit I course on AI and formal logic. In terms of structure and philosophy, I would balance the amount of theoretical content (knowing what you are doing) with practical sessions (knowing how to do it). Note this is an introductory course to Machine Learning (ML) and is not an entire course on “Deep Learning” (DL), although some basic DL concepts are introduced and covered. The course emphasizes the theory part, whereas this latter is always accompanied by practical applications on some toy data to let the students understand in practice what happens (this means sometimes implementing the underlying basic algorithm from scratch). When possible, the course will make a few connections to recent research papers in AI&ML e show some interesting AI applications.","Intro:

What is Machine Learning (ML)?
From rule-based systems to learning taking decisions
Type of problems we can solve with ML
Basic Statistics, Recap of Linear Algebra and Probability Theory
Multivariate Gaussian distribution, Mahalanobis distance, L_p norm
Correlation vs Causality
The “curse” of dimensionality and the manifold assumption. Unintuitive properties of high-dimensional geometry.
Unsupervised Learning:

Dimensionality Reduction: Principal Components Analysis (PCA), t-SNE
Clustering, Kmeans, Expectation-Maximization (EM)
Gaussian Mixture Model (GMM)
Supervised Learning:

Regression vs Classification
Non-parametric models: The Nearest Neighbour (NN) Classifier, Decision Trees/Random Forest
Polynomial Curve Fitting
Parametric, Linear models: Linear regression, Least-Squares, Logistic regression, Perceptron,
Gradient Descent
Model complexity and Bias-Variance Tradeoff; Overfitting and underfitting problems; Empirical - Risk minimization, learning theory, regularization;
Support Vector Machines: Optimal hyperplane, margin, kernels
“Deep Learning”: Overparametrized, non-linear models and differential programming
Multilayer Perceptron
The backpropagation algorithm
Activation functions
Analytical gradient and numerical with finite differences
Computational Graph and Automatic Differentiation
Stochastic Gradient Descent (SGD) over mini-batches
DNN parameters estimation for classification as MLE (maximum likelihood estimation)
Loss function for classification: softmax+cross-entropy loss, information-theory interpretation.","Introducing you to the basic principles of Machine Learning
Knowledge on the main learning modalities (supervised, unsupervised, parametric/non parametric)
Develop awarness of the mathematical tools behind.
Setting strong foundations for more advances courses (i.e. Deep Learning)
Develop critical thinking/raise next generation of scientists
Show a few cool, practical applications","Python, 
NumPy 
scikit learn (basic ML), 
matplotlib 
PyTorch","""The Elements of Statistical Learning""
""Pattern Recognition and Machine Learning""
""A Course in Machine Learning""
""Probabilistic Machine Learning: An Introduction""
""Mathematics for Machine Learning""
""Deep Learning""
""Dive into Deep Learning""",not mentioned,not mentioned
United States,University of Florida,2023-01-01,AI in Agricultural and Life Sciences,"python programming, statistics, or machine learning","Artificial intelligence (AI) is used to solve problems in research and industry. This course
provides students with an understanding of AI systems and how they can be applied to answer
challenging questions in life sciences. Through online study materials and hands on exercises,
students will obtain the skills and knowledge they need to use AI to solve real world life sciences
problems.","Introduction to AI in Agricultural and Life Sciences
Getting started with neural networks
Foundations of neural network modeling
Fundamentals of model overfitting
Fixing overfitting with data and training
Fixing overfitting with modeling
Case study: Quantitative phenotype prediction from genomic variation
Classification problems
Convolutions and image classification
Case study: Landscape classification
Recurrent networks
Case study: Microbiome disease association using recurrent networks
Transformers","- Implement multi-neuron layers and multi-layer networks to build general nonlinear neural
networks in TensorFlow.
- Diagnose model overfitting in TensorFlow using validation data, and implement and evaluate
standard methods to mitigate overfitting in TensorFlow.
- Use Google Colaboratory (Google Colab) and Jupyter Notebooks to build and train neural
networks.
- Apply correct vocabulary to characterize neural networks, modern AI and the history of AI
development.
- Identify important applications of phenotype prediction in agricultural and life sciences.
- Define overfitting and use AI vocabulary to describe how overfitting is evaluated in practice.","python
tensorflow
google colab
jupyter notebook",,Lecture based learning;Learning using case study,Short Quizes;Project
United States,Rice University,,History of Artificial Intelligence,,"This course covers the history of artificial intelligence from three perspectives: its technical
development, the philosophy behind it, and its impact on society. We will discuss theories of AI,
its understanding from religious and philosophical perspectives, the history of robotics and its
relationship with AI decision making, major milestones in algorithm development, important AI
researchers, interpretations of AI in popular culture, and how AI affects us today.",not mentioned,"Be able to explain the historical development of artificial intelligence
- Be able to analyze social issues surrounding artificial intelligence
- Improve their ability to analyze visual and textual arguments
- Be able to effectively use primary and secondary sources in historical writing",,"Nils J. Nilsson, The Quest for Artificial Intelligence, 1st edition (Cambridge ; New York:
Cambridge University Press, 2009)",not mentioned,midterm exam;Project;Report
Germany,Hochschule Pforzheim University,2023-01-01,Introduction to Artificial Intelligence - Applications and Practices,,"This course is designed to teach management school students about AI application development using Google MediaPipe. Students will learn the basic concepts and techniques of AI and
gain hands-on experience in building practical AI application. Thecourse covers many interesting topics, including image and video processing, facial recognition, object detection, and pose estimation.","Introduction to AI and MediaPipe

Introduction to AI concepts and applications.
Overview of the MediaPipe framework.
Setting up the development environment.
Hands-on exercise: MediaPipe installation and basic usage.

Image Classification with MediaPipe

Image classification techniques using MediaPipe Image Classifier.
Hands-on exercise: Implementing image classification with MediaPipe.
Object Detection with MediaPipe

Introduction to object detection algorithms.
Implementing real-time object detection with MediaPipe.
Hands-on exercise: Creating an object detection application.
Image Segmentation

Introduction to MediaPipe Image Segmenter.
Implementing image segmentation with MediaPipe.
Hands-on exercise: Creating an image segmentation application.
Face Detection with MediaPipe

Face detection algorithms and techniques.
Implementing real-time face detection with MediaPipe.
Hands-on exercise: Developing a face detection application.
Face Landmark Detection with MediaPipe

MediaPipe Face Landmarker algorithms and techniques.
Implementing real-time face landmark detection with MediaPipe.
Hands-on exercise: Developing a face landmark detection application.
Pose Estimation

Understanding pose estimation algorithms.
Implementing real-time pose estimation with MediaPipe.
Hands-on exercise: Building a pose estimation application.
Hand Landmarks Detection

MediaPipe Hand Landmarker algorithms and techniques.
Implementing real-time hand landmarks detection with MediaPipe.
Hands-on exercise: Developing a hand landmarks detection application.
Gesture recognition

MediaPipe Gesture Recognizer algorithms and techniques.
Implementing real-time gesture recognition with MediaPipe.
Hands-on exercise: Developing a gesture recognition application.
Text Classification

Introduction to MediaPipe Text Classifier techniques.
Implementing real-time text classification with MediaPipe.
Hands-on exercise: Building a text classification application.
Language Detection

Techniques for MediaPipe Language Detector.
Implementing language detection with MediaPipe.
Hands-on exercise: Developing a language detection application.
Advanced Topics and Future Directions

Exploring advanced features and tools in MediaPipe.
Emerging trends and future directions in AI and MediaPipe.","to analyze marketing intelligence problems,
through the AI application development process of this course.

to develop and evaluate creative solutions
to complex problems through the process of
learning AI application development.

to design and manage marketing intelligence projects independently and take responsibility for them.

",google MediaPipe,,Collaborative or Group-based learning;Lecture based learning;Project based learning(ie. team project),Short Quizes;Assignments;Project
Qatar,Carnegie Mellon University,2021-01-01,Artificial Intelligence for Medicine,Fundamentals of Programming and Computer Science,"This course introduces Artificial Intelligence (AI) and its recent applications in medicine for students with only a little background in computer science. It starts by motivating and defining AI, before folding over to a survey of some of its newest applications to medicine, including diagnosis, prognosis, drug discovery, and recommendations of individualized treatments, to mention just a few. Afterwards, it provides a bird’s-eye view of some of the major AI techniques, including machine learning, deep neural networks, recommendation systems, ranked retrieval, and probabilistic graphical models. Finally, it concludes with a discussion on some of the concerns related to AI, including ethical issues, job security, society, and healthcare institutions, among others.

The course comprises a balance of lectures, case studies, live demonstrations of some medical AI applications, problem-solving & programming assignments (only for 15-282), and research tasks. The students will be exposed to industry- and research-based perspectives on AI for medicine. In addition, students registering for 15-282 will learn through a course project the nuances of working with medical data and applying an AI model to solve a concrete problem in medicine.","Introduction to AI & Administrivia
A Primer on Molecular Genetics
AI Applications in Medicine – Part I
Molecular Genetics and Sequence Alignment
AI Applications in Medicine – Part II
Molecular Genetics and Machine Learning
Machine Learning: Core Concept
Discussion on Molecular Genetics and Machine Learning
Support Vector Machines – Part I
Linear Regression - Part I
More Discussions on Support Vector Machines
Linear Regression - Part II
Support Vector Machines – Part II
Ranked Retrieval- Part I
Logistic Regression- Part I
Ranked Retrieval- Part II
Logistic Regression- Part II
Recommendation Systems and Medical Prognosis
Deep Learning- Part I
Ideas You Should Know: Regularization, Activation Functions, and Transfer Learning
Deep Learning- Part II
Ideas You Should Know: Recurrent Neural Networks (RNNs)
Deep Learning- Part III
Ideas You Should Know: Word Embeddings and Applications","Define AI and discuss what AI can and cannot do.
Identify various AI applications in medicine and explain how they are transforming healthcare.
Recognize the power of big data in enabling AI and describe the different types of data representations.
Recognize the power of AI algorithms in solving medical problems and discuss how they can be applied in the medical field.
Explain different AI concepts, including machine learning, deep learning, recommendation systems, ranked retrievals, and probabilistic graphical models, among others.
Apply some AI techniques to solve real-world medical problems.
Discuss several societal issues and ethical concerns surrounding AI.",,,Lecture based learning;Learning using case study;LAB demos,Short Quizes;Assignments;Final Exam;midterm exam;Project
